"airport_code","airport_name","delay_percentage"
"BGR","Bangor, ME: Bangor International",50
"DLH","Duluth, MN: Duluth International",37.04
"BQN","Aguadilla, PR: Rafael Hernandez",32.07
"FAT","Fresno, CA: Fresno Yosemite International",31.39
"STX","Christiansted, VI: Henry E. Rohlsen",29.32
"MAF","Midland/Odessa, TX: Midland International Air and Space Port",29.31
"FSD","Sioux Falls, SD: Joe Foss Field",29
"SBP","San Luis Obispo, CA: San Luis County Regional",27.93
"EGE","Eagle, CO: Eagle County Regional",27.87
"CID","Cedar Rapids/Iowa City, IA: The Eastern Iowa",27.85
